Scenario,Topic,Summary,Sentiment,Transcripts
Scenario 1,Fraud,Customer reports an unauthorized $325 transaction. The agent blocks the card and initiates a fraud investigation.,Concerned,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es María. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, acabo de recibir un mensaje sobre una transacción sospechosa en mi tarjeta de débito.

Agente:
Entiendo. Permíteme ayudarte con eso. ¿Podrías verificar tu nombre completo y los últimos cuatro dígitos de tu tarjeta de débito?

Cliente:
Sí, soy Juan Pérez, y los últimos cuatro dígitos son 4321.

Agente:
Gracias, Juan. Veo un intento de transacción por $325 en Electronic City el 17 de mayo. ¿Autorizaste esta transacción?

Cliente:
No, yo no hice esa compra.

Agente:
De acuerdo. Voy a marcar esta transacción como no autorizada. Para garantizar tu seguridad, bloquearemos la tarjeta actual y te emitiremos una nueva. La recibirás en 5 a 7 días hábiles. Mientras tanto, ¿te gustaría que iniciemos el proceso de investigación y disputa por esta transacción?

Cliente:
Sí, por favor.

Agente:
Perfecto. Procederé con el proceso de disputa y te proporcionaré un número de referencia. ¿Hay alguna otra preocupación o transacción que te gustaría revisar?

Cliente:
No, eso es todo.

Agente:
Muy bien, Juan. Tu número de referencia es 654321. Por favor, guárdalo para futuras referencias. Si notas alguna otra actividad sospechosa, no dudes en contactarnos. Gracias por elegir Not-a-real Bank. ¡Que tengas un buen día!"
Scenario 2,Account Access,Customer’s card was declined due to insufficient funds. Transfer initiated to cover the deficit.,Frustrated,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Pablo. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, mi tarjeta fue rechazada cuando intenté hacer un pago en el supermercado.

Agente:
Lamento escuchar eso. Déjame revisar tu cuenta. ¿Podrías proporcionarme tu nombre completo y los últimos cuatro dígitos de tu tarjeta de débito?

Cliente:
Claro. Soy Emilia Gómez. Los últimos cuatro dígitos son 5678.

Agente:
Gracias, Emilia. Veo que tu saldo actual es de $45.70, pero el monto de la transacción era de $60. Por eso la tarjeta fue rechazada.

Cliente:
Oh, pensaba que tenía más dinero en la cuenta. ¿Hay alguna forma de cubrir la transacción?

Agente:
Sí, tenemos dos opciones:

    Puedes transferir fondos desde otra cuenta para cubrir la diferencia.

    Podemos activar la protección contra sobregiros para futuras transacciones.

¿Te gustaría proceder con alguna de estas opciones?

Cliente:
Vamos a hacer la transferencia. Tengo dinero en mi cuenta de ahorros.

Agente:
De acuerdo. ¿Cuánto deseas transferir?

Cliente:
$70.

Agente:
Perfecto. La transferencia está completa y tu tarjeta ahora está disponible para usar. ¿Hay algo más en lo que te pueda ayudar?

Cliente:
No, eso es todo. Gracias por tu ayuda.

Agente:
De nada, Emilia. Que tengas un excelente día y gracias por confiar en Not-a-real Bank."
Scenario 3,Security,Customer reports a suspicious login from another location. The agent locks the account and resets the password.,Anxious,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Linda. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, acabo de recibir un mensaje diciendo que alguien inició sesión en mi cuenta bancaria en línea. No fui yo.

Agente:
Entendido. Vamos a revisar esto. ¿Podrías confirmar tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Miguel Chen, y los últimos cuatro son 7890.

Agente:
Gracias, Miguel. Veo que hubo un intento de inicio de sesión desde un dispositivo no reconocido en San Francisco a las 3:20 PM hoy. ¿Estabas en esa ubicación?

Cliente:
No, yo estoy en Nueva York.

Agente:
Entendido. Voy a colocar un bloqueo temporal en tu cuenta para evitar más accesos no autorizados. También reiniciaremos tu contraseña y te enviaremos una nueva por correo electrónico en los próximos 15 minutos.

Cliente:
De acuerdo. ¿Y qué pasa con ese inicio de sesión no autorizado?

Agente:
Vamos a iniciar una investigación para verificar si hubo alguna transacción no autorizada. Si encontramos algo, te contactaremos de inmediato.

Cliente:
Perfecto. Gracias por tu ayuda.

Agente:
De nada, Miguel. Mantente atento a tu correo electrónico. Si ves algo sospechoso, llámanos de inmediato."
Scenario 4,Account Management,Customer requests a statement for the past three months. The agent emails a PDF copy.,Neutral,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Daniel. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, necesito una copia de mi extracto bancario de los últimos tres meses.

Agente:
Claro. ¿Puedes confirmar tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Sí, soy Sara Lee, y los últimos cuatro son 1234.

Agente:
Gracias, Sara. ¿Te gustaría que el extracto te lo enviemos por correo electrónico o por correo postal?

Cliente:
Correo electrónico está bien.

Agente:
Perfecto. Recibirás el extracto en formato PDF en los próximos 10 minutos. Si no lo ves, revisa tu carpeta de correo no deseado.

Cliente:
¿Y puedo recibirlo en papel si lo necesito?

Agente:
Sí, también podemos enviarte una copia impresa. Solo házmelo saber y procederé.

Cliente:
No, el correo electrónico está bien. Gracias.

Agente:
De nada, Sara. Si necesitas algo más, estamos aquí para ayudarte. Que tengas un excelente día."
Scenario 5,Credit,Customer requests a credit limit increase. Income verified and application submitted for review.,Hopeful,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Laura. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, me gustaría solicitar un aumento en el límite de mi tarjeta de crédito.

Agente:
Claro. ¿Puedes proporcionarme tu nombre completo y los últimos cuatro dígitos de tu tarjeta de crédito?

Cliente:
Soy David Johnson, y los últimos cuatro son 5678.

Agente:
Gracias, David. Tu límite actual es de $2,000. ¿Cuánto estás solicitando como aumento?

Cliente:
Quisiera aumentarlo a $4,000.

Agente:
Entendido. Antes de proceder, necesito verificar algunos datos. ¿Ha cambiado tu ingreso recientemente?

Cliente:
Sí, ahora gano $75,000 al año.

Agente:
Excelente. He actualizado tu información. Solicitar un aumento puede resultar en una consulta de crédito dura, lo que podría afectar temporalmente tu puntaje. ¿Quieres proceder?

Cliente:
Sí, está bien.

Agente:
Perfecto. La solicitud ha sido enviada. Recibirás una respuesta en 1-2 días hábiles.

Cliente:
Gracias, Laura.

Agente:
De nada, David. Que tengas un gran día y gracias por confiar en Not-a-real Bank."
Scenario 6,Loans,Customer seeks a loan payment extension due to financial hardship. Extension granted for two weeks.,Worried,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Jason. ¿En qué puedo ayudarte hoy?

Cliente (preocupado):
Hola, estoy teniendo problemas financieros este mes y quería ver si puedo extender la fecha de pago de mi préstamo.

Agente:
Lamento escuchar eso. Déjame ver qué opciones tenemos. ¿Puedes confirmarme tu nombre completo y el número de tu cuenta de préstamo?

Cliente:
Soy Michelle Nguyen, y el número de préstamo es 987654.

Agente:
Gracias, Michelle. Tu pago actual de $300 vence el 15 de mayo. ¿Hasta cuándo necesitas extenderlo?

Cliente:
Solo un par de semanas, hasta finales de mes.

Agente:
Perfecto. Podemos conceder una extensión hasta el 31 de mayo. Sin embargo, habrá una tarifa de $25, que se sumará a tu próximo pago. ¿Quieres proceder?

Cliente:
Sí, por favor.

Agente:
Listo. La nueva fecha de vencimiento es el 31 de mayo. Recibirás un correo electrónico de confirmación en breve. Si necesitas algo más, házmelo saber.

Cliente:
Eso es todo. Muchas gracias.

Agente:
De nada, Michelle. Que tengas un buen día y gracias por confiar en Not-a-real Bank."
Scenario 7,Account Management,Customer requests to close a savings account. Balance will be sent via check.,Neutral,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Nancy. ¿En qué puedo ayudarte hoy?

Cliente:
Hola, quiero cerrar mi cuenta de ahorros.

Agente:
Lamento escuchar eso. ¿Podrías decirme el motivo del cierre?

Cliente:
Me estoy mudando a otro estado y voy a cambiar a un banco local.

Agente:
Entendido. Antes de proceder, ¿puedes confirmar tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Robert King, y los últimos cuatro son 4321.

Agente:
Gracias, Robert. Tu saldo actual es de $125.50. ¿Quieres que te enviemos el saldo restante en un cheque por correo o transferirlo a otra cuenta?

Cliente:
Envíenme un cheque, por favor.

Agente:
Muy bien. El cheque será enviado a la dirección que tenemos en archivo en los próximos 5-7 días hábiles. ¿Quieres que confirme la dirección antes de enviarlo?

Cliente:
Sí, por favor.

Agente:
Tenemos 456 Main Street, Apt 12B, Columbus, OH 43215. ¿Es correcto?

Cliente:
Sí, es correcto.

Agente:
Perfecto, Robert. Tu cuenta será cerrada hoy y el cheque estará en camino. Si alguna vez decides volver a Not-a-real Bank, estaremos aquí para ayudarte.

Cliente:
Gracias por tu ayuda.

Agente:
De nada, Robert. ¡Que tengas un excelente día!"
Scenario 8,Fees,Customer disputes a $35 late fee. The agent initiates a review and requests a waiver.,Frustrated,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Tom. ¿En qué puedo ayudarte hoy?

Cliente (molesto):
Hola, acabo de ver una tarifa de $35 en mi estado de cuenta por un pago atrasado. Pero yo pagué a tiempo.

Agente:
Lamento escuchar eso. Vamos a revisar tu cuenta. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu tarjeta?

Cliente:
Soy Lisa Adams, y los últimos cuatro son 6789.

Agente:
Gracias, Lisa. Veo que la tarifa se aplicó el 12 de mayo porque el pago mínimo se recibió tres días después de la fecha de vencimiento, que era el 10 de mayo.

Cliente:
Pero yo programé el pago el 10 de mayo.

Agente:
Entendido. Déjame verificar el historial de transacciones. (pausa) Veo que el pago se registró el 13 de mayo, lo que explica la tarifa.

Cliente:
Eso no tiene sentido. Yo hice el pago el día 10.

Agente:
Entiendo tu frustración. Puedo iniciar una revisión para verificar la fecha exacta en que se envió el pago. Además, como es tu primera tarifa por pago atrasado, puedo solicitar una exención como cortesía. ¿Quieres que proceda?

Cliente:
Sí, por favor.

Agente:
Listo. La solicitud ha sido enviada. Recibirás una respuesta en 1-2 días hábiles.

Cliente:
Gracias.

Agente:
De nada, Lisa. Lamento el inconveniente. Estamos aquí para ayudarte."
Scenario 9,Account Access,Customer locked out of online banking. Temporary password issued for account access.,Relieved,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Emily. ¿En qué puedo ayudarte hoy?

Cliente:
No recuerdo mi contraseña de banca en línea y estoy bloqueado.

Agente:
No te preocupes. Te ayudaré a restablecerla. ¿Puedes confirmarme tu nombre completo y los últimos cuatro dígitos de tu cuenta?

Cliente:
Soy Michael Thomas, y los últimos cuatro son 1234.

Agente:
Gracias, Michael. Veo que tu cuenta está bloqueada debido a múltiples intentos fallidos de inicio de sesión. ¿Quieres que te envíe una contraseña temporal a tu correo electrónico?

Cliente:
Sí, por favor.

Agente:
De acuerdo. Recibirás una contraseña temporal en los próximos 10 minutos. Cuando inicies sesión, te pedirá que crees una nueva contraseña.

Cliente:
¿Qué pasa si no recibo el correo?

Agente:
Si no lo ves en tu bandeja de entrada, revisa tu carpeta de correo no deseado o spam. Si no lo recibes, llámanos y verificaremos la dirección de correo registrada.

Cliente:
Perfecto. Gracias.

Agente:
De nada, Michael. Que tengas un excelente día."
Scenario 10,Communication Issues,Customer and agent struggle to hear each other due to a poor connection. Callback initiated.,Frustrated,"Agente:
Gracias por llamar a Not-a-real Bank. Mi nombre es Sarah. ¿En qué puedo ayudarte hoy?

Cliente (interferencia):
Hola… ¿me escuchas?... Tengo un problema con mi cuenta…

Agente:
Te escucho, pero la conexión es muy débil. ¿Puedes intentar moverte a un lugar con mejor señal?

Cliente (entrecortado):
Sí… mi cuenta… cobros no autorizados…

Agente:
Lamento la interferencia. ¿Quieres que te llame de vuelta al número que tenemos registrado?

Cliente:
Sí… hazlo.

Agente:
Muy bien. Te estaré llamando en unos momentos. Por favor, mantente cerca de tu teléfono."
